id,lig_id,lig_name,formula,mol_weight,inchi_key
,0HK,"(1R,2R,4S,5S,7S)-7-{[HYDROXY(DITHIOPHEN-2-YL)ACETYL]OXY}-9,9-DIMETHYL-3-OXA-9-AZONIATRICYCLO[3.3.1.0~2,4~]NONANE",C19 H22 N O4 S2 1,392.51,LERNTVKEWCAPOY-DZZGSBJMSA-N
,CIT,CITRIC ACID,C6 H8 O7,192.12,KRKNYBCHXYNGOX-UHFFFAOYSA-N
,JDC,"(3R)-7-HYDROXY-N-{(2S)-1-[(3R,4R)-4-(3-HYDROXYPHENYL)-3,4-DIMETHYLPIPERIDIN-1-YL]-3-METHYLBUTAN-2-YL}-1,2,3,4-TETRAHYDROISOQUINOLINE-3-CARBOXAMIDE",C28 H39 N3 O3,465.63,ZLVXBBHTMQJRSX-VMGNSXQWSA-N
,PEG,DI(HYDROXYETHYL)ETHER,C4 H10 O3,106.12,MTHSVFCYNBDYFN-UHFFFAOYSA-N
,1PE,PENTAETHYLENE GLYCOL,C10 H22 O6,238.28,JLFNLZLINWHATN-UHFFFAOYSA-N
,BF0,"METHYL 4-{[(5BETA,6ALPHA)-17-(CYCLOPROPYLMETHYL)-3,14-DIHYDROXY-4,5-EPOXYMORPHINAN-6-YL]AMINO}-4-OXOBUTANOATE",C25 H32 N2 O6,456.53,PGIBGSVRAVGQMY-OIUZVZFJSA-N
,MPG,"[(Z)-OCTADEC-9-ENYL] (2R)-2,3-BIS(OXIDANYL)PROPANOATE",C21 H40 O4,356.54,JPJYKWFFJCWMPK-GDCKJWNLSA-N
,0NN,"1-BENZYL-N-[3-(1'H,3H-SPIRO[2-BENZOFURAN-1,4'-PIPERIDIN]-1'-YL)PROPYL]-D-PROLINAMIDE",C27 H35 N3 O2,433.59,MAKMQGKJURAJEN-RUZDIDTESA-N
,OLB,"(2S)-2,3-DIHYDROXYPROPYL (9Z)-OCTADEC-9-ENOATE",C21 H40 O4,356.54,RZRNAYUHWVFMIP-QJRAZLAKSA-N
,EJ4,"(4BS,8R,8AS,14BR)-7-(CYCLOPROPYLMETHYL)-5,6,7,8,14,14B-HEXAHYDRO-4,8-METHANO[1]BENZOFURO[2,3-A]PYRIDO[4,3-B]CARBAZOLE-1,8A(9H)-DIOL",C26 H26 N2 O3,414.5,WIYUZYBFCWCCQJ-IFKAHUTRSA-N
,EPE,4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID,C8 H18 N2 O4 S,238.3,JKMHFZQWWAIEOD-UHFFFAOYSA-N
,2GM,DIHYDROERGOTAMINE,C33 H37 N5 O5,583.68,LUZRJRNZXALNLM-JGRZULCMSA-N
,ERM,ERGOTAMINE,C33 H35 N5 O5,581.66,XCGSFFUVFURLIX-VFGNJEKYSA-N
,1KS,4-FLUORO-N-METHYL-N-{1-[4-(1-METHYL-1H-PYRAZOL-5-YL)PHTHALAZIN-1-YL]PIPERIDIN-4-YL}-2-(TRIFLUOROMETHYL)BENZAMIDE,C26 H24 F4 N6 O,512.5,SZBGQDXLNMELTB-UHFFFAOYSA-N
,PG4,TETRAETHYLENE GLYCOL,C8 H18 O5,194.23,UWHCKJMYHZGTIT-UHFFFAOYSA-N
,1Q5,"3,6-DIMETHYL-N-(PENTAN-3-YL)-2-(2,4,6-TRIMETHYLPHENOXY)PYRIDIN-4-AMINE",C21 H30 N2 O,326.48,VIZBSVDBNLAVAW-UHFFFAOYSA-N
,PGW,"(1R)-2-{[(S)-{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-1-[(HEXADECANOYLOXY)METHYL]ETHYL (9Z)-OCTADEC-9-ENOATE",C40 H77 O10 P,749.01,PAZGBAOHGQRCBP-HGWHEPCSSA-N
,1WV,"(2S)-2,3-DIHYDROXYPROPYL (7Z)-TETRADEC-7-ENOATE",C17 H32 O4,300.43,LVBAGTJIDOCNIJ-INIZCTEOSA-N
,XQC,"4-[(1R)-1-HYDROXY-2-{[1-(4-HYDROXYPHENYL)-2-METHYLPROPAN-2-YL]AMINO}ETHYL]BENZENE-1,2-DIOL",C18 H23 N O4,317.38,CTXHFGIUMIBAFO-KRWDZBQOSA-N
,ALE,L-EPINEPHRINE,C9 H13 N O3,183.2,UCTWMZQNUQWSLP-VIFPVBQESA-N
,MRV,"4,4-DIFLUORO-N-[(1S)-3-{(3-EXO)-3-[3-METHYL-5-(PROPAN-2-YL)-4H-1,2,4-TRIAZOL-4-YL]-8-AZABICYCLO[3.2.1]OCT-8-YL}-1-PHENYLPROPYL]CYCLOHEXANECARBOXAMIDE",C29 H41 F2 N5 O,513.67,GSNHKUDZZFZSJB-QYOOZWMWSA-N
,IXO,"4-(4,5-DIHYDRO-1,2-OXAZOL-3-YLOXY)-N,N,N-TRIMETHYLBUT-2-YN-1-AMINIUM",C10 H17 N2 O2 1,197.25,WXXOCGISBCTWPW-UHFFFAOYSA-N
,2CU,"3-AMINO-5-CHLORO-N-CYCLOPROPYL-4-METHYL-6-[2-(4-METHYLPIPERAZIN-1-YL)-2-OXOETHOXY]THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDE",C19 H24 CL N5 O3 S,437.94,TYTGOXSAAQWLPJ-UHFFFAOYSA-N
,SNT,"(E)-N-(4-BENZYLPIPERAZIN-1-YL)-1-(3,5-DIMETHYL-1-PHENYL-1H-PYRAZOL-4-YL)METHANIMINE",C23 H27 N5,373.49,FOORCIAZMIWALX-JJIBRWJFSA-N
,TLA,L(+)-TARTARIC ACID,C4 H6 O6,150.09,FEWJPZIEWOKRBE-JCYAYHJZSA-N
,DGA,DIACYL GLYCEROL,C39 H76 O5,625.02,UHUSDOQQWJGJQS-QNGWXLTQSA-N
,TRS,"2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL",C4 H12 N O3 1,122.14,LENZDBCJOHFCAS-UHFFFAOYSA-O
